Title,Year,Station,Statistic,Month,Value,Latitude ,logitude,Unit,Sourse
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean max.,Dec,30.3,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Jan,19.4,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Feb,18.1,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Mar,23.5,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Apr,25.2,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,May,25.1,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Jun,24.3,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Jul,24.6,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Aug,23.9,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Sep,24.3,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Oct,23.1,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Nov,18.9,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Dec,18.3,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Jan,35.6,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Feb,38.5,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Mar,40.5,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Apr,41.4,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,May,40.1,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Jun,36.5,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Jul,36,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Aug,34.5,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Sep,34.2,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Oct,34.1,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Nov,34.2,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Dec,34.3,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,Jan,16.9,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,Feb,16.1,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,Mar,19,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,Apr,21,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,May,22.5,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,Jun,23.4,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,Jul,23,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,Aug,22.5,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,Sep,22.9,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,Oct,17.7,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,Nov,14.4,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2534,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. min. ,Dec,14.5,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
